Interface,Description,Status,VLAN
Gi0/6,rn2ccgsv601,        connected,2572
Gi0/8,rn2ngssv75VLAN2,    connected,2280
Gi0/9,rn2ngssv107_ETH9,   connected,99
Gi0/10,rn2ngssv101_ILOM,   connected,99
Gi0/11,rn2ngssv101_ETH1,   connected,99
Gi0/12,rn2ngssv103_ILOM,   connected,99
Gi0/13,rn2ngssv103_ETH1,   connected,99
Gi0/14,rn2ngssv105_ILOM,   connected,99
Gi0/15,rn2ngssv105_ETH1,   connected,99
Gi0/16,rn2ngssv107_ILOM,   connected,99
Gi0/17,rn2ngssv107_ETH1,   connected,99
Gi0/18,rn2ngssv109_ILOM,   connected,99
Gi0/19,rn2ngssv109_ETH1,   connected,99
Gi0/20,rn2ngssv111_ILOM,   connected,99
Gi0/21,rn2ngssv111_ETH1,   connected,99
Gi0/22,rn2ngssv117_ILOM,   connected,99
Gi0/23,rn2ngssv117_ETH1,   connected,99
Gi0/24,rn2ngssv119_ILOM,   connected,99
Gi0/25,rn2ngssv119_ETH1,   connected,99
Gi0/26,rn2ngssv121_ILOM,   connected,99
Gi0/27,rn2ngssv121_ETH1,   connected,99
Gi0/28,rn2ngssv123_ILOM,   connected,99
Gi0/29,rn2ngssv123_ETH1,   connected,99
Gi0/30,rn2ngssv125_ILOM,   connected,99
Gi0/31,rn2ngssv127_ILOM,   connected,99
Gi0/32,rn2ngsstemc001_SP1, connected,2293
Gi0/33,rn2ngssv101_ETH8,   connected,2293
Gi0/34,rn2ngssv103_ETH8,   connected,2293
Gi0/35,rn2ngssv105_ETH8,   connected,2293
Gi0/36,rn2ngssv107_ETH8,   connected,2291
Gi0/37,rn2ngssv101_ETH9,   connected,2291
Gi0/38,rn2ngssv103_ETH9,   connected,2291
Gi0/39,rn2ngssv105_ETH9,   connected,2291
Gi0/40,rn2ngssv117_ETH3,   connected,2291
Gi0/41,rn2ngssv119_ETH3,   connected,2291
Gi0/42,rn2ngssv121_ETH3,   connected,2291
Gi0/43,rn2ngssv123_ETH3,   connected,2291
Gi0/44,rn2ngssv117_ETH6,   connected,2291
Gi0/45,rn2ngssv119_ETH6,   connected,2291
Gi0/46,rn2ngssv121_ETH6,   connected,2291
Gi0/47,rn2ngssv123_ETH6,   connected,2291
